timestamp,movement,state
0,0.0,rest
1,6.961223958333333,rest
2,4.132096354166666,rest
3,5.504778645833333,rest
4,5.872239583333333,rest
5,7.551302083333334,rest
6,5.851158854166667,rest
7,4.963736979166667,rest
8,4.8855078125,rest
9,4.4952604166666665,rest
10,3.542330729166667,rest
11,4.141080729166666,rest
12,2.3088802083333335,rest
13,4.434609375,rest
14,3.159309895833333,rest
15,3.648671875,rest
16,3.9223177083333334,rest
17,3.920078125,rest
18,3.171028645833333,rest
19,3.954453125,rest
20,3.2279036458333334,rest
21,3.1608072916666665,rest
22,3.8393619791666667,rest
23,4.014231770833334,rest
24,2.866875,rest
25,1.8734244791666668,rest
26,3.606015625,rest
27,3.6107421875,rest
28,2.6700260416666666,rest
29,1.6426692708333333,rest
30,3.822473958333333,rest
31,3.5227083333333336,rest
32,3.2369270833333332,rest
33,1.8313671875,rest
34,3.7530859375,rest
35,3.0820182291666667,rest
36,3.2832161458333333,rest
37,2.0220963541666666,rest
38,4.2921744791666665,rest
39,3.0085026041666665,rest
40,4.887200520833333,rest
41,7.8605078125,rest
42,5.056653645833333,rest
43,29.1630859375,rest
44,29.2907421875,rest
45,5.281640625,rest
46,3.74078125,rest
47,3.6324869791666665,rest
48,3.552526041666667,rest
49,3.0397526041666665,rest
50,1.8855859375,rest
51,3.420625,rest
52,2.8358854166666667,rest
53,3.29203125,rest
54,1.9656770833333332,rest
55,3.30484375,rest
56,2.3283463541666665,rest
57,3.121263020833333,rest
58,1.6965755208333333,rest
59,3.0522395833333333,rest
60,1.93625,rest
61,3.22546875,rest
62,1.7045442708333334,rest
63,2.8843229166666666,rest
64,1.6608984375,rest
65,2.9199348958333333,rest
66,1.6385677083333334,rest
67,3.3627864583333333,rest
68,3.0565234375,rest
69,3.0703776041666666,rest
70,1.5393880208333333,rest
71,3.3912369791666666,rest
72,3.1372786458333333,rest
73,2.919752604166667,rest
74,1.6801171875,rest
75,3.2646744791666666,rest
76,3.126145833333333,rest
77,2.921484375,rest
78,2.3154296875,rest
79,2.9680859375,rest
80,3.1573177083333333,rest
81,1.8747786458333333,rest
82,3.1783854166666665,rest
83,2.6381380208333334,rest
84,2.8656510416666667,rest
85,2.4527994791666665,rest
86,3.5960677083333334,rest
87,3.1763671875,rest
88,2.8828385416666666,rest
89,1.9746354166666666,rest
90,3.3291536458333333,rest
91,3.157903645833333,rest
92,3.021276041666667,rest
93,1.5691276041666666,rest
94,3.436184895833333,rest
95,2.101692708333333,rest
96,3.2857682291666666,rest
97,2.1197005208333333,rest
98,2.918229166666667,rest
99,3.320546875,rest
100,3.3958333333333335,rest
101,2.8386848958333335,rest
102,2.1363671875,rest
103,3.5433854166666667,rest
104,3.1699739583333333,rest
105,3.459765625,rest
106,3.1121614583333335,rest
107,4.090924479166667,rest
108,3.2803645833333333,rest
109,3.6929427083333333,rest
110,3.320859375,rest
111,3.0240885416666665,rest
112,2.7754557291666666,rest
113,3.2427213541666666,rest
114,3.31078125,rest
