timestamp,movement,heart_rate,state,hr_change,hr_rolling_mean,movement_rolling_mean
0,0.0,83.0,rest,0.0,83.0,0.0
1,6.961223958333333,83.13333333333334,rest,0.13333333333333997,83.06666666666666,3.4806119791666665
2,4.132096354166666,83.26666666666667,rest,0.13333333333332575,83.13333333333334,3.6977734375
3,5.504778645833333,83.4,rest,0.13333333333333997,83.2,4.149524739583333
4,5.872239583333333,83.53333333333333,rest,0.13333333333332575,83.26666666666668,4.494067708333334
5,7.551302083333334,83.66666666666667,rest,0.13333333333333997,83.33333333333333,5.003606770833334
6,5.851158854166667,83.8,rest,0.13333333333332575,83.39999999999999,5.124685639880952
7,4.963736979166667,83.93333333333334,rest,0.13333333333333997,83.46666666666667,5.104567057291667
8,4.8855078125,84.06666666666666,rest,0.13333333333332575,83.53333333333333,5.080227141203704
9,4.4952604166666665,84.2,rest,0.13333333333333997,83.6,5.02173046875
10,3.542330729166667,84.33333333333333,rest,0.13333333333332575,83.73333333333333,5.375963541666667
11,4.141080729166666,84.46666666666667,rest,0.13333333333333997,83.86666666666667,5.09394921875
12,2.308880208333333,84.6,rest,0.13333333333332575,84.0,4.911627604166666
13,4.434609375,84.73333333333333,rest,0.13333333333333997,84.13333333333333,4.804610677083334
14,3.159309895833333,84.86666666666666,rest,0.13333333333332575,84.26666666666667,4.533317708333334
15,3.648671875,85.0,rest,0.13333333333333997,84.4,4.143054687499999
16,3.922317708333333,84.93333333333334,rest,-0.06666666666666288,84.51333333333335,3.9501705729166665
17,3.920078125,84.86666666666666,rest,-0.06666666666667709,84.60666666666665,3.8458046875000003
18,3.171028645833333,84.8,rest,-0.06666666666666288,84.68,3.674356770833333
19,3.954453125,84.73333333333333,rest,-0.06666666666666288,84.73333333333333,3.620276041666666
20,3.227903645833333,84.66666666666667,rest,-0.06666666666666288,84.76666666666667,3.5888333333333327
21,3.1608072916666665,84.6,rest,-0.06666666666667709,84.78,3.4908059895833334
22,3.839361979166666,84.53333333333333,rest,-0.06666666666666288,84.77333333333334,3.643854166666666
23,4.014231770833334,84.46666666666667,rest,-0.06666666666666288,84.74666666666667,3.6018164062499998
24,2.866875,84.4,rest,-0.06666666666666288,84.7,3.572572916666666
25,1.8734244791666668,84.33333333333333,rest,-0.06666666666667709,84.63333333333334,3.3950481770833334
26,3.606015625,84.26666666666667,rest,-0.06666666666666288,84.56666666666668,3.3634179687500003
27,3.6107421875,84.2,rest,-0.06666666666666288,84.5,3.332484375
28,2.6700260416666666,84.13333333333334,rest,-0.06666666666666288,84.43333333333332,3.2823841145833335
29,1.6426692708333333,84.06666666666666,rest,-0.06666666666667709,84.36666666666666,3.0512057291666665
30,3.822473958333333,84.0,rest,-0.06666666666666288,84.3,3.1106627604166666
31,3.5227083333333336,84.2,rest,0.20000000000000284,84.26,3.1468528645833334
32,3.236927083333333,84.4,rest,0.20000000000000284,84.24666666666667,3.0866093749999997
33,1.8313671875,84.6,rest,0.19999999999998863,84.26,2.868322916666666
34,3.7530859375,84.8,rest,0.20000000000000284,84.3,2.9569440104166667
35,3.0820182291666667,85.0,rest,0.20000000000000284,84.36666666666666,3.0778033854166664
36,3.2832161458333333,85.2,rest,0.20000000000000284,84.46000000000001,3.0455234374999995
37,2.0220963541666666,85.4,rest,0.20000000000000284,84.58000000000001,2.8866588541666665
38,4.2921744791666665,85.6,rest,0.19999999999998863,84.72666666666667,3.0488736979166666
39,3.0085026041666665,85.8,rest,0.20000000000000284,84.9,3.18545703125
40,4.887200520833333,86.0,rest,0.20000000000000284,85.1,3.2919296875
41,7.8605078125,86.2,rest,0.20000000000000284,85.3,3.725709635416666
42,5.056653645833333,86.4,rest,0.20000000000000284,85.5,3.9076822916666663
43,29.1630859375,86.6,rest,0.19999999999998863,85.7,6.640854166666666
44,29.2907421875,86.8,rest,0.20000000000000284,85.9,9.194619791666668
45,5.281640625,87.0,rest,0.20000000000000284,86.1,9.414582031250001
46,3.74078125,87.13333333333334,rest,0.13333333333333997,86.29333333333332,9.460338541666667
47,3.6324869791666665,87.26666666666667,rest,0.13333333333332575,86.47999999999999,9.621377604166668
48,3.552526041666667,87.4,rest,0.13333333333333997,86.66,9.547412760416666
49,3.0397526041666665,87.53333333333333,rest,0.13333333333332575,86.83333333333334,9.550537760416667
50,1.8855859375,87.66666666666667,rest,0.13333333333333997,87.0,9.250376302083334
51,3.420625,87.8,rest,0.13333333333332575,87.16,8.806388020833333
52,2.8358854166666667,87.93333333333334,rest,0.13333333333333997,87.31333333333333,8.584311197916668
53,3.29203125,88.06666666666666,rest,0.13333333333332575,87.46,5.997205729166667
54,1.9656770833333328,88.2,rest,0.13333333333333997,87.6,3.2646992187499997
55,3.30484375,88.33333333333333,rest,0.13333333333332575,87.73333333333333,3.0670195312499997
56,2.3283463541666665,88.46666666666667,rest,0.13333333333333997,87.86666666666667,2.9257760416666665
57,3.121263020833333,88.6,rest,0.13333333333332575,88.0,2.874653645833333
58,1.6965755208333333,88.73333333333333,rest,0.13333333333333997,88.13333333333333,2.68905859375
59,3.0522395833333333,88.86666666666666,rest,0.13333333333332575,88.26666666666667,2.6903072916666666
60,1.93625,89.0,rest,0.13333333333333997,88.4,2.6953736979166667
61,3.22546875,89.06666666666666,rest,0.06666666666666288,88.52666666666667,2.6758580729166668
62,1.7045442708333334,89.13333333333334,rest,0.06666666666667709,88.64666666666668,2.562723958333333
63,2.884322916666666,89.2,rest,0.06666666666666288,88.76,2.521953125
64,1.6608984375,89.26666666666667,rest,0.06666666666666288,88.86666666666666,2.4914752604166663
65,2.9199348958333333,89.33333333333333,rest,0.06666666666666288,88.96666666666667,2.452984375
66,1.6385677083333334,89.4,rest,0.06666666666667709,89.06,2.3840065104166666
67,3.3627864583333333,89.46666666666667,rest,0.06666666666666288,89.14666666666668,2.4081588541666665
68,3.0565234375,89.53333333333333,rest,0.06666666666666288,89.22666666666666,2.544153645833333
69,3.0703776041666666,89.6,rest,0.06666666666666288,89.3,2.5459674479166665
70,1.5393880208333333,89.66666666666667,rest,0.06666666666667709,89.36666666666666,2.50628125
71,3.3912369791666666,89.73333333333333,rest,0.06666666666666288,89.43333333333332,2.5228580729166667
72,3.1372786458333333,89.8,rest,0.06666666666666288,89.5,2.6661315104166663
73,2.919752604166667,89.86666666666666,rest,0.06666666666666288,89.56666666666668,2.669674479166667
74,1.6801171875,89.93333333333334,rest,0.06666666666667709,89.63333333333334,2.6715963541666667
75,3.264674479166666,90.0,rest,0.06666666666666288,89.7,2.7060703125
76,3.126145833333333,89.8,rest,-0.20000000000000284,89.74,2.854828125
77,2.921484375,89.6,rest,-0.20000000000000284,89.75333333333333,2.810697916666667
78,2.3154296875,89.4,rest,-0.19999999999998863,89.74,2.7365885416666664
79,2.9680859375,89.2,rest,-0.20000000000000284,89.7,2.7263593750000004
80,3.1573177083333333,89.0,rest,-0.20000000000000284,89.63333333333334,2.88815234375
81,1.874778645833333,88.8,rest,-0.20000000000000284,89.53999999999999,2.7365065104166666
