timestamp,movement,state
0,0.0,recovery
1,15.618736979166666,recovery
2,6.0273828125,recovery
3,7.5206640625,recovery
4,7.759166666666666,recovery
5,6.388333333333334,recovery
6,4.587786458333333,recovery
7,6.307161458333334,recovery
8,5.8846875,recovery
9,6.0852734375,recovery
10,6.492057291666667,recovery
11,7.2218229166666665,recovery
12,5.152721354166666,recovery
13,5.8563020833333335,recovery
14,3.7628125,recovery
15,3.1564453125,recovery
16,3.8949348958333334,recovery
17,4.293385416666666,recovery
18,4.3150390625,recovery
19,3.883450520833333,recovery
20,3.460729166666667,recovery
21,3.31640625,recovery
22,3.9647786458333334,recovery
23,4.1023567708333335,recovery
24,3.8455989583333334,recovery
25,3.783046875,recovery
26,4.149401041666667,recovery
27,3.343411458333333,recovery
28,4.186875,recovery
29,3.9955078125,recovery
30,3.8729036458333335,recovery
31,2.9605078125,recovery
32,2.0606380208333333,recovery
33,3.897630208333333,recovery
34,3.5910026041666665,recovery
35,4.832669270833334,recovery
36,5.805065104166666,recovery
37,6.082942708333333,recovery
38,4.5949479166666665,recovery
39,4.740963541666667,recovery
40,4.174609375,recovery
41,2.8705859375,recovery
42,3.5043880208333333,recovery
43,3.57453125,recovery
44,3.472955729166667,recovery
45,2.6413151041666665,recovery
46,2.3141276041666665,recovery
47,3.0653645833333334,recovery
48,3.0547395833333333,recovery
49,2.8226953125,recovery
50,2.5976432291666667,recovery
51,2.6693880208333334,recovery
52,2.150260416666667,recovery
53,2.8567708333333335,recovery
54,1.5384765625,recovery
55,2.248046875,recovery
56,2.9306770833333333,recovery
57,3.1895442708333333,recovery
58,1.8302864583333334,recovery
59,3.12765625,recovery
60,3.1877213541666665,recovery
61,1.8538020833333333,recovery
62,2.834140625,recovery
63,1.7773307291666667,recovery
64,2.716666666666667,recovery
65,1.8445963541666666,recovery
66,2.8892838541666666,recovery
67,2.95328125,recovery
68,2.1465494791666666,recovery
69,3.0608333333333335,recovery
70,3.4320833333333334,recovery
71,4.82640625,recovery
72,5.3048697916666665,recovery
73,3.770716145833333,recovery
74,4.618372395833333,recovery
75,1.757109375,recovery
76,3.1194140625,recovery
77,3.001692708333333,recovery
78,2.6046744791666665,recovery
79,2.7141145833333336,recovery
80,2.3102994791666664,recovery
81,2.2694140625,recovery
82,2.572942708333333,recovery
83,1.5901692708333333,recovery
84,4.526354166666667,recovery
85,5.191276041666667,recovery
86,4.644361979166667,recovery
87,4.1448828125,recovery
88,4.999453125,recovery
89,5.459544270833334,recovery
90,2.377890625,recovery
91,3.5932552083333333,recovery
92,5.1944921875,recovery
93,3.5566145833333334,recovery
94,4.1338671875,recovery
95,3.6547916666666667,recovery
96,2.6038671875,recovery
97,3.0672916666666667,recovery
98,2.900598958333333,recovery
99,1.9422395833333332,recovery
100,3.100377604166667,recovery
101,3.2370572916666664,recovery
102,2.0077083333333334,recovery
103,2.8791276041666665,recovery
104,2.9764713541666667,recovery
105,2.889921875,recovery
106,1.6974479166666667,recovery
107,5.390703125,recovery
108,3.5211197916666666,recovery
109,5.4552604166666665,recovery
110,3.8442578125,recovery
111,2.9501171875,recovery
112,2.2495442708333333,recovery
113,2.7123307291666667,recovery
114,2.7788411458333333,recovery
115,2.4184635416666667,recovery
